Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1)
-3.05,47.0,9.05,690.0,11.0,22.0919,21.1,23.9
-2.925,46.5,8.925,651.75,11.0,22.559536,21.1,23.9
-2.8,46.0,8.8,613.5,11.0,22.916145,21.1,23.9
-2.8,45.5,9.05,575.25,8.8,23.252853,21.1,23.9
-2.8,45.0,9.3,537.0,8.8,23.550951,21.1,23.9
-2.8,44.5,9.55,453.5,8.8,23.754189,21.1,23.9
-2.8,44.0,9.8,370.0,8.8,23.82373,21.1,23.9
-2.65,44.5,9.275,286.5,4.4,23.883482,21.1,23.9
-2.5,45.0,8.75,203.0,4.4,23.819502,21.1,23.9
-2.35,45.5,8.225,309.0,4.4,23.895288,21.1,23.9
-2.2,46.0,7.7,415.0,4.4,24.013517,21.1,23.9
-2.075,45.5,7.825,521.0,8.8,24.559605,21.1,23.9
-1.95,45.0,7.95,627.0,8.8,25.272581,21.1,23.9
-1.825,44.5,8.075,623.75,8.8,25.931486,21.1,23.9
-1.7,44.0,8.2,620.5,8.8,26.293877,21.1,23.9
-1.7,41.25,8.2,617.25,11.0,26.813189,21.1,23.9
-1.7,38.5,8.2,614.0,11.0,27.1715,21.1,23.9
-1.7,35.75,8.2,548.75,11.0,27.319271,21.1,23.9
-1.7,33.0,8.2,483.5,11.0,27.274483,21.1,23.9
-1.825,33.25,8.075,418.25,11.0,27.045307,21.1,23.9
-1.95,33.5,7.95,353.0,11.0,26.736406,21.1,23.9
-2.075,33.75,7.825,279.75,11.0,26.214922,21.1,23.9
-2.2,34.0,7.7,206.5,11.0,25.66983,21.1,23.9
-2.35,34.5,7.7,133.25,11.0,24.737665,21.1,23.9
-2.5,35.0,7.7,60.0,11.0,23.891548,21.1,23.9
-2.65,35.5,7.7,0.0,11.0,22.917177,21.1,23.9
-2.8,36.0,7.7,0.0,11.0,22.336481,21.1,23.9
-2.925,36.5,8.225,0.0,11.0,21.872644,21.1,23.9
-3.05,37.0,8.75,0.0,11.0,21.331228,21.1,23.9
-3.175,37.5,9.275,0.0,11.0,21.12554,21.1,23.9
-3.3,38.0,9.8,0.0,11.0,21.103905,21.1,23.9
-3.3,38.0,9.4,0.0,5.5,21.215708,12.8,40.0
-3.3,38.0,9.0,0.0,5.5,21.16492,12.8,40.0
-3.3,38.0,8.6,0.0,5.5,21.019793,12.8,40.0
-3.3,38.0,8.2,0.0,5.5,20.877157,12.8,40.0
-3.45,38.75,8.35,0.0,1.1,20.482466,12.8,40.0
-3.6,39.5,8.5,0.0,1.1,20.017195,12.8,40.0
-3.75,40.25,8.65,0.0,1.1,19.68178,12.8,40.0
-3.9,41.0,8.8,0.0,1.1,19.387383,12.8,40.0
-4.025,40.0,8.925,0.0,1.1,19.04421,12.8,40.0
-4.15,39.0,9.05,0.0,1.1,18.646198,12.8,40.0
-4.275,38.0,9.175,0.0,1.1,18.361237,12.8,40.0
-4.4,37.0,9.3,0.0,1.1,18.09978,12.8,40.0
-4.55,37.5,9.3,0.0,0.0,17.829052,12.8,40.0
-4.7,38.0,9.3,0.0,0.0,17.45953,12.8,40.0
-4.85,38.5,9.3,0.0,0.0,17.160753,12.8,40.0
-5.0,39.0,9.3,0.0,0.0,16.89709,12.8,40.0
-5.15,39.5,9.3,0.0,0.0,16.68593,12.8,40.0
-5.3,40.0,9.3,0.0,0.0,16.467062,12.8,40.0
-5.45,40.5,9.3,0.0,0.0,16.266346,12.8,40.0
-5.6,41.0,9.3,0.0,0.0,16.056873,12.8,40.0
-5.725,41.5,9.025,0.0,0.0,15.872993,12.8,40.0
